Timestamp,"On a scale from 1 to 5, how would you rate your knowledge and understanding of Artificial Intelligence (AI)?","On a scale from 1 to 5, how often do you use Artificial Intelligence (AI) for personal use?","On a scale from 1 to 5, how often do you use Artificial Intelligence (AI) for school-related tasks?","On a scale from 1 to 5, how interested are you in pursuing a career in Artificial Intelligence?",Do you know what Chat-GPT is?,What college are you in?
3/31/2023 19:59:11,5,5,5,5,Yes,"Science, Engineering, & Technology"
3/31/2023 19:59:45,4,3,4,4,Yes,"Science, Engineering, & Technology"
3/31/2023 20:06:25,3,3,5,1,No,Business
3/31/2023 20:10:55,4,3,5,2,Yes,Business
3/31/2023 20:14:34,5,2,1,5,Yes,Humanities & Social Sciences
3/31/2023 20:56:01,2,1,1,1,No,Nursing & Health Care
3/31/2023 21:02:52,2,1,1,1,Yes,Humanities & Social Sciences
3/31/2023 21:10:58,3,2,1,1,Yes,"Science, Engineering, & Technology"
3/31/2023 21:13:52,3,3,3,1,No,"Science, Engineering, & Technology"
3/31/2023 21:24:05,2,2,1,1,Yes,"Science, Engineering, & Technology"
3/31/2023 22:28:49,3,1,1,1,Yes,Arts & Media
3/31/2023 22:34:16,3,2,1,2,Yes,Humanities & Social Sciences
3/31/2023 22:35:06,3,2,1,2,Yes,Humanities & Social Sciences
3/31/2023 22:48:46,3,1,1,1,Yes,Nursing & Health Care
3/31/2023 23:37:58,3,1,1,1,Yes,Humanities & Social Sciences
3/31/2023 23:44:34,2,2,1,3,Yes,"Science, Engineering, & Technology"
4/1/2023 0:16:47,4,2,1,1,Yes,Nursing & Health Care
4/1/2023 4:08:57,1,1,1,1,No,Nursing & Health Care
4/1/2023 9:15:14,2,2,2,1,No,Nursing & Health Care
4/1/2023 10:36:40,3,3,3,2,Yes,"Science, Engineering, & Technology"
4/1/2023 12:27:11,4,3,3,1,Yes,Business
4/1/2023 14:26:26,1,1,1,1,Yes,Theology
4/1/2023 15:46:51,5,3,3,5,Yes,"Science, Engineering, & Technology"
4/2/2023 14:49:35,4,2,2,2,Yes,"Science, Engineering, & Technology"
4/2/2023 17:12:52,3,2,2,4,Yes,"Science, Engineering, & Technology"
4/2/2023 20:17:16,3,2,3,2,Yes,Arts & Media
4/3/2023 6:50:53,3,5,5,5,Yes,"Science, Engineering, & Technology"
4/3/2023 8:15:21,4,4,4,3,Yes,"Science, Engineering, & Technology"
4/3/2023 10:15:17,4,4,4,5,Yes,"Science, Engineering, & Technology"
4/3/2023 15:14:38,3,2,2,2,Yes,Arts & Media
4/5/2023 17:38:57,4,2,1,2,Yes,Education
4/5/2023 17:40:45,2,1,1,3,Yes,Business
4/5/2023 17:41:23,2,1,1,1,Yes,Theology
4/5/2023 17:42:38,3,3,2,1,Yes,Business
4/5/2023 17:47:13,4,2,2,3,Yes,"Science, Engineering, & Technology"
4/5/2023 17:48:18,3,4,2,3,Yes,"Science, Engineering, & Technology"
4/5/2023 17:51:29,3,1,1,1,Yes,Business
4/5/2023 17:52:31,2,3,2,1,Yes,"Science, Engineering, & Technology"
4/5/2023 17:55:16,4,2,2,1,Yes,"Science, Engineering, & Technology"
4/5/2023 18:05:58,4,5,5,5,Yes,Business
4/5/2023 18:13:58,3,2,1,1,Yes,Business
4/5/2023 18:34:09,3,2,1,2,Yes,"Science, Engineering, & Technology"
4/5/2023 18:36:01,2,1,1,3,Yes,Business
4/5/2023 18:57:12,3,1,1,1,Yes,Nursing & Health Care
4/5/2023 19:03:23,2,1,1,1,No,Humanities & Social Sciences
4/5/2023 19:04:03,4,1,1,1,No,Business
4/5/2023 19:14:08,1,1,1,1,No,"Science, Engineering, & Technology"
4/5/2023 19:21:52,4,3,3,1,Yes,Humanities & Social Sciences
4/5/2023 19:22:14,2,1,1,1,Yes,Humanities & Social Sciences
4/5/2023 19:28:31,2,1,1,1,No,Education
4/5/2023 19:57:46,4,3,1,1,Yes,"Science, Engineering, & Technology"
4/5/2023 20:02:58,3,2,2,3,Yes,Business
4/5/2023 20:26:42,2,2,2,1,No,Education
4/5/2023 20:33:04,2,1,1,1,No,Nursing & Health Care
4/5/2023 20:59:57,2,3,4,1,Yes,Arts & Media
4/5/2023 22:07:34,5,3,3,5,Yes,Nursing & Health Care
4/5/2023 22:39:23,3,3,2,5,Yes,"Science, Engineering, & Technology"
4/5/2023 22:55:21,4,1,4,2,Yes,"Science, Engineering, & Technology"
4/5/2023 22:55:54,2,1,1,1,Yes,"Science, Engineering, & Technology"
4/6/2023 0:01:22,4,3,4,3,Yes,"Science, Engineering, & Technology"
4/6/2023 6:56:37,4,2,2,1,Yes,Humanities & Social Sciences
4/6/2023 7:13:56,2,2,2,2,No,Nursing & Health Care
4/6/2023 7:40:45,2,1,1,1,Yes,"Science, Engineering, & Technology"
4/6/2023 8:17:10,5,1,1,1,Yes,"Science, Engineering, & Technology"
4/6/2023 8:25:28,3,3,3,1,Yes,Business
4/6/2023 8:29:02,2,3,2,1,Yes,Business
4/6/2023 9:13:18,3,3,2,1,Yes,Education
4/6/2023 10:07:30,5,3,1,4,Yes,"Science, Engineering, & Technology"
4/6/2023 10:30:49,3,3,2,1,Yes,Humanities & Social Sciences
4/6/2023 10:30:52,2,1,1,1,No,Business
4/6/2023 10:59:13,3,2,2,1,Yes,Nursing & Health Care
4/6/2023 12:58:38,5,4,5,5,Yes,"Science, Engineering, & Technology"
4/6/2023 13:18:53,3,2,1,2,Yes,Humanities & Social Sciences
4/6/2023 14:20:38,4,4,3,1,Yes,"Science, Engineering, & Technology"
4/6/2023 15:28:43,2,1,1,1,Yes,Arts & Media
4/6/2023 15:49:11,4,3,3,2,Yes,Business
4/6/2023 16:03:20,3,3,4,3,Yes,Business
4/6/2023 16:04:15,3,3,3,3,Yes,Business
4/6/2023 17:31:11,3,3,1,1,No,Education
4/6/2023 17:54:45,3,1,1,1,No,Humanities & Social Sciences
4/6/2023 19:58:38,2,2,2,3,No,Business
4/6/2023 20:38:07,3,3,2,1,Yes,Humanities & Social Sciences
4/6/2023 23:43:43,4,2,4,1,No,Nursing & Health Care
4/7/2023 0:02:29,4,2,2,1,No,"Science, Engineering, & Technology"
4/7/2023 0:03:04,4,3,1,2,Yes,"Science, Engineering, & Technology"
4/7/2023 0:32:17,2,1,1,1,Yes,"Science, Engineering, & Technology"
4/7/2023 0:36:59,4,2,2,1,Yes,"Science, Engineering, & Technology"
4/7/2023 10:23:07,4,3,2,2,Yes,Business
4/7/2023 11:47:39,1,1,1,1,Yes,"Science, Engineering, & Technology"
4/7/2023 11:48:11,1,1,1,1,Yes,Arts & Media
4/7/2023 11:48:35,1,1,1,1,Yes,Business
4/7/2023 11:57:02,2,1,1,2,Yes,Humanities & Social Sciences
4/7/2023 12:38:40,3,2,1,1,Yes,Education
4/7/2023 13:07:42,4,3,3,4,Yes,"Science, Engineering, & Technology"
4/7/2023 13:41:09,4,3,3,1,Yes,Business and education
4/7/2023 14:13:18,4,2,2,1,Yes,"Science, Engineering, & Technology"
4/7/2023 20:05:29,3,3,3,1,Yes,Theology
4/7/2023 20:11:29,3,1,1,1,Yes,Business
4/7/2023 23:55:01,4,2,3,1,Yes,Business
4/8/2023 13:07:50,5,4,3,1,Yes,Business
4/8/2023 21:52:16,3,2,2,1,Yes,Humanities & Social Sciences
4/8/2023 22:49:31,4,3,2,1,Yes,Business
4/8/2023 23:53:28,4,3,4,1,Yes,Humanities & Social Sciences
4/9/2023 7:00:21,3,2,1,1,Yes,Theology
4/9/2023 11:04:19,2,1,1,2,No,"Science, Engineering, & Technology"
4/9/2023 20:12:26,3,4,4,2,No,Arts & Media
4/10/2023 7:04:16,4,2,1,3,Yes,"Science, Engineering, & Technology"
4/10/2023 9:19:52,3,2,1,1,Yes,"Science, Engineering, & Technology"
4/10/2023 9:43:25,4,1,1,1,Yes,Nursing & Health Care
4/10/2023 9:58:38,3,3,2,2,Yes,"Science, Engineering, & Technology"
4/10/2023 10:24:46,4,3,4,1,Yes,Business
4/10/2023 10:29:42,3,3,2,1,Yes,Nursing & Health Care
4/10/2023 10:30:17,2,2,2,1,Yes,Nursing & Health Care
4/10/2023 10:45:35,5,4,4,3,Yes,"Science, Engineering, & Technology"
4/10/2023 10:55:19,5,4,4,2,Yes,Can you email Robert.loy@gcu.edu
4/10/2023 10:57:58,2,2,3,1,Yes,"Science, Engineering, & Technology"
4/10/2023 11:21:53,5,1,1,5,No,"Science, Engineering, & Technology"
4/10/2023 11:26:56,4,3,3,1,Yes,Business
4/10/2023 11:26:58,1,1,1,1,No,Business
4/10/2023 12:07:46,3,1,1,1,Yes,Humanities & Social Sciences
4/10/2023 12:17:18,3,2,1,1,Yes,"Science, Engineering, & Technology"
4/10/2023 12:19:34,3,2,1,1,Yes,"Science, Engineering, & Technology"
4/10/2023 13:57:35,3,1,1,1,Yes,Nursing & Health Care
4/10/2023 16:52:59,3,1,1,1,Yes,Theology
4/11/2023 7:57:06,3,3,2,1,Yes,Arts & Media
4/11/2023 8:45:07,3,1,1,1,Yes,Humanities & Social Sciences
4/11/2023 8:45:26,3,2,1,1,Yes,Business
4/11/2023 8:54:16,4,3,3,4,Yes,"Science, Engineering, & Technology"
4/11/2023 12:45:06,3,2,2,1,Yes,"Science, Engineering, & Technology"
4/11/2023 12:51:43,2,1,1,1,Yes,"Science, Engineering, & Technology"
4/11/2023 13:44:35,4,3,3,1,Yes,Business
4/11/2023 14:46:45,4,3,1,1,Yes,Humanities & Social Sciences
4/11/2023 18:42:48,5,1,5,5,Yes,CreamAToligy
4/11/2023 19:35:07,4,4,4,4,Yes,"Science, Engineering, & Technology"
4/11/2023 21:11:11,4,1,1,1,Yes,"Science, Engineering, & Technology"
4/11/2023 21:37:57,3,1,1,1,No,Humanities & Social Sciences
4/12/2023 9:58:24,3,2,3,3,Yes,"Science, Engineering, & Technology"
4/12/2023 12:29:21,3,1,1,1,Yes,Humanities & Social Sciences
4/12/2023 12:44:02,4,3,2,2,Yes,"Science, Engineering, & Technology"
4/12/2023 15:19:46,1,1,1,1,No,Business
4/12/2023 15:47:56,4,2,1,1,Yes,"Science, Engineering, & Technology"
4/12/2023 15:54:48,4,4,3,2,Yes,"Science, Engineering, & Technology"
4/12/2023 15:58:08,4,1,2,1,Yes,Arts & Media
4/12/2023 16:43:12,3,3,2,3,Yes,"Science, Engineering, & Technology"
4/12/2023 19:56:52,4,3,2,3,Yes,"Science, Engineering, & Technology"
4/12/2023 20:16:24,5,4,4,1,Yes,Education
4/13/2023 8:19:30,3,2,1,2,No,Humanities & Social Sciences
4/13/2023 11:38:16,4,3,1,1,Yes,Education
4/13/2023 12:47:24,3,2,1,1,Yes,Humanities & Social Sciences
4/13/2023 13:44:23,3,2,1,1,Yes,Theology
4/13/2023 15:11:00,3,1,1,1,Yes,"Science, Engineering, & Technology"
4/13/2023 22:12:42,3,2,1,2,Yes,"Science, Engineering, & Technology"
4/14/2023 7:17:29,4,2,1,1,No,Education
4/14/2023 9:39:39,3,4,5,2,Yes,Humanities & Social Sciences
4/14/2023 10:56:05,2,1,1,2,No,Business
4/14/2023 13:39:00,4,2,2,2,Yes,"Science, Engineering, & Technology"
4/14/2023 14:17:19,2,1,1,1,Yes,Humanities & Social Sciences
4/14/2023 14:29:58,2,2,1,1,Yes,Business
4/14/2023 15:40:30,4,2,1,2,Yes,"Science, Engineering, & Technology"
4/14/2023 15:41:20,2,2,2,2,Yes,"Science, Engineering, & Technology"
4/14/2023 15:41:28,3,2,3,1,Yes,"Science, Engineering, & Technology"
4/14/2023 15:41:42,2,1,1,1,Yes,"Science, Engineering, & Technology"
4/14/2023 15:41:49,3,2,2,1,Yes,"Science, Engineering, & Technology"
4/14/2023 16:25:40,5,4,4,4,Yes,Business
4/14/2023 21:38:30,4,2,4,1,Yes,Business
4/16/2023 18:32:02,3,1,1,1,No,"Science, Engineering, & Technology"
4/17/2023 8:43:05,4,3,2,2,Yes,"Science, Engineering, & Technology"
4/17/2023 9:06:42,4,3,3,1,Yes,"Science, Engineering, & Technology"
4/17/2023 10:30:40,5,4,5,5,Yes,Business
4/17/2023 14:26:06,3,1,1,2,Yes,"Science, Engineering, & Technology"
4/17/2023 14:42:52,3,2,2,1,Yes,Business
4/17/2023 17:58:11,2,1,1,1,No,Humanities & Social Sciences
4/18/2023 6:44:53,3,2,3,1,No,Business
4/18/2023 6:56:43,4,3,4,1,Yes,Humanities & Social Sciences
4/18/2023 8:48:42,4,2,1,2,Yes,Humanities & Social Sciences
4/18/2023 8:52:15,4,3,3,3,Yes,Business
4/18/2023 9:16:38,4,1,1,1,Yes,"Science, Engineering, & Technology"
4/18/2023 9:46:18,4,3,2,2,Yes,"Science, Engineering, & Technology"
4/18/2023 11:31:21,3,2,2,1,Yes,Education
4/18/2023 12:32:32,3,3,3,1,Yes,Business
4/18/2023 12:50:11,5,2,2,1,Yes,Business
4/18/2023 13:04:37,5,4,5,3,Yes,Business
4/18/2023 15:06:48,2,2,1,1,No,Business
4/18/2023 15:15:28,3,2,1,1,Yes,Humanities & Social Sciences
4/18/2023 16:40:55,4,4,4,2,Yes,Business
4/18/2023 18:03:37,4,4,4,3,Yes,"Science, Engineering, & Technology"
4/19/2023 6:54:19,3,1,1,1,Yes,Business
4/19/2023 8:20:04,3,3,3,1,Yes,"Science, Engineering, & Technology"
4/19/2023 10:30:10,3,4,4,1,Yes,Business
4/19/2023 12:02:10,3,1,1,2,Yes,Business
4/19/2023 12:11:31,3,2,1,2,No,"Science, Engineering, & Technology"
4/19/2023 14:07:29,2,2,2,1,No,"Science, Engineering, & Technology"
4/19/2023 14:17:04,3,1,1,1,Yes,"Science, Engineering, & Technology"
4/19/2023 14:38:50,2,3,2,2,No,Humanities & Social Sciences
4/19/2023 15:23:54,3,2,3,2,Yes,"Science, Engineering, & Technology"
4/19/2023 15:47:15,5,4,3,4,Yes,Business
4/19/2023 16:05:36,5,4,4,5,Yes,"Science, Engineering, & Technology"
4/19/2023 16:45:20,3,3,2,2,Yes,"Science, Engineering, & Technology"
4/19/2023 17:21:58,4,1,1,3,Yes,Business
4/19/2023 21:02:56,3,3,2,2,Yes,"Science, Engineering, & Technology"
4/19/2023 21:21:05,4,2,3,1,Yes,Arts & Media
4/20/2023 10:28:35,5,3,3,3,Yes,Humanities & Social Sciences
4/20/2023 11:19:54,1,3,4,4,Yes,"Science, Engineering, & Technology"
4/20/2023 11:26:11,3,2,3,1,Yes,Business
